,id,Range (km),Battery Level (%),Latitude (°),Longitude (°),Speed (km/h),Maintenance Cost ($),Charging Cost ($),Pin Code,Working Condition,Charging Status,Energy Consumed (kWh),Fast Charge Speed (kW),status,Date,dvr,Make,mgr,Acceleration 0 - 100 km/h,Top Speed,ER,Total Power,Total Torque,Drive,BC,Length,Width,Height,Wheelbase,Gross Vehicle Weight (GVWR),Max. Payload,Cargo Volume,Seats
0,4,154.68,41,31.59694,79.034997,73,173,12,658166,1,1,23.202,62,1,2023-07-31,chandu,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5
1,4,154.68,41,31.59694,79.034997,73,173,12,658166,1,1,23.202,62,1,2023-07-31,dhoni,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5
2,4,281.85,67,21.762419,78.431291,56,116,9,494792,1,1,42.2775,75,0,2023-10-19,chandu,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5
3,4,281.85,67,21.762419,78.431291,56,116,9,494792,1,1,42.2775,75,0,2023-10-19,dhoni,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5
4,4,399.73,88,27.972597,72.804244,59,60,29,218514,1,0,59.9595,128,1,2023-10-13,chandu,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5
5,4,399.73,88,27.972597,72.804244,59,60,29,218514,1,0,59.9595,128,1,2023-10-13,dhoni,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5
6,4,201.6,52,19.703734,88.816502,72,129,39,399358,1,1,30.24,100,1,2023-11-17,chandu,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5
7,4,201.6,52,19.703734,88.816502,72,129,39,399358,1,1,30.24,100,1,2023-11-17,dhoni,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5
8,4,252.04,61,15.836614,88.173304,79,151,32,124525,1,1,37.806,119,0,2023-10-25,chandu,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5
9,4,252.04,61,15.836614,88.173304,79,151,32,124525,1,1,37.806,119,0,2023-10-25,dhoni,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5
10,4,142.08,38,33.550002,95.018126,86,135,6,872037,1,0,21.312,117,0,2023-03-08,chandu,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5
11,4,142.08,38,33.550002,95.018126,86,135,6,872037,1,0,21.312,117,0,2023-03-08,dhoni,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5
12,4,457.33,99,36.312205,91.068938,85,107,28,272656,1,1,68.59949999999999,117,0,2023-07-20,chandu,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5
13,4,457.33,99,36.312205,91.068938,85,107,28,272656,1,1,68.59949999999999,117,0,2023-07-20,dhoni,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5
14,4,57.45,23,13.263615,74.911489,82,241,30,994642,1,0,8.6175,98,0,2023-08-22,chandu,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5
15,4,57.45,23,13.263615,74.911489,82,241,30,994642,1,0,8.6175,98,0,2023-08-22,dhoni,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5
16,4,320.76,73,23.810737,91.035572,56,163,25,392925,1,1,48.114,109,0,2023-04-01,chandu,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5
17,4,320.76,73,23.810737,91.035572,56,163,25,392925,1,1,48.114,109,0,2023-04-01,dhoni,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5
18,4,81.78,27,20.275574,96.101459,108,153,28,583032,0,0,12.267,131,0,2023-11-14,chandu,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5
19,4,81.78,27,20.275574,96.101459,108,153,28,583032,0,0,12.267,131,0,2023-11-14,dhoni,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5
20,4,277.58,63,26.912508,72.909765,103,171,26,867888,0,1,41.63699999999999,123,0,2023-02-11,chandu,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5
21,4,277.58,63,26.912508,72.909765,103,171,26,867888,0,1,41.63699999999999,123,0,2023-02-11,dhoni,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5
22,4,278.29,66,32.285351,96.216894,45,138,12,949710,1,0,41.743500000000004,131,1,2023-08-08,chandu,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5
23,4,278.29,66,32.285351,96.216894,45,138,12,949710,1,0,41.743500000000004,131,1,2023-08-08,dhoni,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5
24,4,107.12,31,28.121775,71.709842,120,291,11,421960,1,1,16.068,56,1,2023-09-18,chandu,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5
25,4,107.12,31,28.121775,71.709842,120,291,11,421960,1,1,16.068,56,1,2023-09-18,dhoni,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5
26,4,373.42,84,36.15825,96.37443,46,263,38,636156,1,1,56.013,90,1,2023-08-21,chandu,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5
27,4,373.42,84,36.15825,96.37443,46,263,38,636156,1,1,56.013,90,1,2023-08-21,dhoni,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5
28,4,381.19,86,32.365937,83.268856,77,62,16,918015,1,1,57.1785,132,1,2023-09-24,chandu,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5
29,4,381.19,86,32.365937,83.268856,77,62,16,918015,1,1,57.1785,132,1,2023-09-24,dhoni,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5
30,4,188.18,49,29.52472,88.684044,71,265,15,416282,1,1,28.227,76,0,2023-10-08,chandu,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5
31,4,188.18,49,29.52472,88.684044,71,265,15,416282,1,1,28.227,76,0,2023-10-08,dhoni,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5
32,4,445.95,98,35.533039,95.246417,55,129,38,369134,1,1,66.8925,123,0,2023-11-15,chandu,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5
33,4,445.95,98,35.533039,95.246417,55,129,38,369134,1,1,66.8925,123,0,2023-11-15,dhoni,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5
34,4,235.74,58,22.694067,92.876803,43,154,13,155643,1,1,35.361,74,0,2023-01-21,chandu,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5
35,4,235.74,58,22.694067,92.876803,43,154,13,155643,1,1,35.361,74,0,2023-01-21,dhoni,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5
36,4,235.19,58,16.568178,92.193927,60,282,21,161943,1,1,35.2785,139,0,2023-11-13,chandu,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5
37,4,235.19,58,16.568178,92.193927,60,282,21,161943,1,1,35.2785,139,0,2023-11-13,dhoni,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5
38,4,434.01,96,32.552192,76.560904,120,85,33,200362,1,1,65.1015,79,0,2023-11-27,chandu,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5
39,4,434.01,96,32.552192,76.560904,120,85,33,200362,1,1,65.1015,79,0,2023-11-27,dhoni,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5
40,4,165.22,42,18.226238,72.26115,77,56,13,660911,1,0,24.782999999999998,149,0,2023-12-13,chandu,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5
41,4,165.22,42,18.226238,72.26115,77,56,13,660911,1,0,24.782999999999998,149,0,2023-12-13,dhoni,Volkswagen,john,7.9,160,450,150,310,Rear,82.0,4261,1809,1568,2771,2300,447,385,5
